Month-Day,PRCP_mean,TMAX_mean,TMIN_mean,PRCP_std,TMAX_std,TMIN_std,PRCP_odds
01-01,0.1301526717557252,35.75,20.810606060606062,0.2748089818620155,9.716889364981869,10.426136107576164,0.45038167938931295
01-02,0.13906976744186048,35.45454545454545,20.83969465648855,0.32566864357345915,10.101291306132756,10.458575277212718,0.3798449612403101
01-03,0.15868217054263564,35.09090909090909,20.734848484848484,0.3242500478145716,9.760063935354461,9.931720981595147,0.43410852713178294
01-04,0.17519379844961241,34.416666666666664,20.492424242424242,0.3820649093560416,11.292124977788502,11.548435148691354,0.43410852713178294
01-05,0.09713178294573643,34.54545454545455,19.09090909090909,0.2519771622788017,9.899775335845163,11.29578354452679,0.3333333333333333
01-06,0.1362015503875969,34.74242424242424,20.204545454545453,0.2966984838351513,10.433080983631386,10.30951434604721,0.4108527131782946
01-07,0.20623076923076922,35.53030303030303,20.87121212121212,0.3542439604877399,10.762132790369575,10.212554243106938,0.5076923076923077
01-08,0.1482170542635659,33.31060606060606,18.916666666666668,0.3371744949123225,10.467056700226884,10.593128744159147,0.43410852713178294
01-09,0.14267175572519086,32.717557251908396,18.083333333333332,0.39371372736952087,9.897377126647324,10.42387282548736,0.40458015267175573
01-10,0.1586923076923077,33.18181818181818,18.689393939393938,0.4301800388579678,9.940140062154022,10.006206147284185,0.3923076923076923
01-11,0.11807692307692308,33.34090909090909,17.825757575757574,0.2748166299252693,10.98634096125108,11.123523119824512,0.3076923076923077
01-12,0.15715384615384614,34.17424242424242,18.204545454545453,0.3113019288031562,10.413948523455398,10.68260956508547,0.47692307692307695
01-13,0.16915384615384615,33.81060606060606,19.553030303030305,0.38212996412374733,10.913352404215166,10.963029052882323,0.4307692307692308
01-14,0.1197674418604651,34.371212121212125,18.389312977099237,0.2389216173647459,11.383934912501289,10.93306383906104,0.3953488372093023
01-15,0.17099236641221374,33.29545454545455,18.435114503816795,0.4069338539366583,11.55784564592456,11.439539552757171,0.46564885496183206
01-16,0.12305343511450383,32.666666666666664,17.412213740458014,0.2749066782348316,11.20432486472524,11.671708219192405,0.4198473282442748
01-17,0.11511450381679389,33.06818181818182,16.583333333333332,0.26261222190848893,9.962673222468064,11.419176095375754,0.3969465648854962
01-18,0.12162790697674418,33.553030303030305,16.96946564885496,0.2667536044088557,11.736492573283503,12.406536075979474,0.4186046511627907
01-19,0.12992248062015505,33.06818181818182,17.242424242424242,0.30776537361080497,12.722039049814711,12.706385491009055,0.3875968992248062
01-20,0.13815384615384615,33.74242424242424,18.37121212121212,0.31766782078916544,10.127900554937607,10.989519853530894,0.4230769230769231
01-21,0.13176923076923075,34.27272727272727,18.477272727272727,0.3367087978502957,10.165869336925088,9.859676464576346,0.34615384615384615
01-22,0.11053846153846154,34.35606060606061,18.78787878787879,0.22770616023390217,10.966383453176364,11.23722705127868,0.36923076923076925
01-23,0.12374045801526719,35.34848484848485,18.666666666666668,0.30803680069324035,10.207006161751261,11.05825425993424,0.4122137404580153
01-24,0.18854961832061068,34.67424242424242,18.856060606060606,0.4081027814305996,11.608430874180588,11.088218474708361,0.4198473282442748
01-25,0.2443076923076923,34.65151515151515,18.757575757575758,0.44807415371475234,11.738879648276288,11.405182438023454,0.45384615384615384
01-26,0.116,34.34848484848485,18.234848484848484,0.28648524996867186,10.887337591174262,10.758174487220339,0.36153846153846153
01-27,0.126328125,33.43181818181818,17.424242424242426,0.3076271162744319,11.075172138181596,11.342092925945453,0.4609375
01-28,0.11472868217054265,32.34848484848485,16.863636363636363,0.290334068142254,10.580830173121603,10.582119967747358,0.4263565891472868
